Ticker;TotalOrders;Profit;Dividents;Commission;Total;Currency
PSTG;2;0.27;0;-0.02;0.25;USD
CRTX;2;0.26;0;-0.06;0.20;USD
RDFN;2;0.25;0;-0.04;0.21;USD
AA;5;0.24;0;-0.05;0.19;USD
HRTX;2;0.22;0;-0.02;0.20;USD
GPS;2;0.21;0;-0.02;0.19;USD
SWBI;2;0.17;0;-0.02;0.15;USD
UBER;2;0.16;0;-0.12;0.04;USD
ANGI;2;0.15;0;-0.02;0.13;USD
LLY;2;0.14;0;-0.14;0.00;USD
MNK;4;0.13;0;-0.10;0.03;USD
TRIP;2;0.13;0;-0.02;0.11;USD
CORR;2;0.08;0;-0.02;0.06;USD
AJRD;2;0.07;0;-0.04;0.03;USD
RIG;14;0.06;0;-0.16;-0.10;USD
SIG;2;0.05;0;-0.02;0.03;USD
EW;2;0.04;0;-0.04;0.00;USD
GE;2;0.02;0;-0.03;-0.01;USD
IIVI;2;0.01;0;-0.06;-0.05;USD
CLF;4;-0.11;0;-0.10;-0.21;USD
ESPR;2;-0.12;0;-0.02;-0.14;USD
ENPH;2;-0.17;0;-0.08;-0.25;USD
HEAR;2;-0.19;0;-0.02;-0.21;USD
WBA;2;-0.19;0;-0.04;-0.23;USD
COLM;2;-0.28;0;-0.04;-0.32;USD
TDOC;2;-0.34;0;-0.2;-0.54;USD
NET;2;-0.37;0;-0.06;-0.43;USD
GCO;2;-0.46;0;-0.04;-0.50;USD
PBI;10;-0.51;0;-0.13;-0.64;USD
TAL;2;-0.66;0;-0.05;-0.71;USD
KR;3;-0.67;0;-0.08;-0.75;USD
BSX;5;-0.74;0;-0.09;-0.83;USD
SFIX;2;-0.77;0;-0.06;-0.83;USD
SLB;2;-0.9;0;-0.15;-1.05;USD
SWN;2;-0.90;0;-0.04;-0.94;USD
PTON;2;-0.94;0;-0.16;-1.10;USD
OSUR;10;-1.14;0;-0.12;-1.26;USD
YY;4;-1.14;0;-0.12;-1.26;USD
JD;4;-1.29;0;-0.16;-1.45;USD
AMD;2;-1.60;0;-0.17;-1.77;USD
T;5;-2.27;0;-0.07;-2.34;USD
CVET;2;-2.58;0;-0.06;-2.64;USD
UPWK;2;-2.87;0;-0.06;-2.93;USD
OKE;2;-3.22;0;-0.08;-3.30;USD
HOG;6;-3.33;0;-0.50;-3.83;USD
NVDA;19;-3.48;0;-4.74;-8.22;USD
EDIT;4;-4.08;0;-0.22;-4.30;USD
JPM;2;-4.25;0;-0.12;-4.37;USD
FGEN;5;-5.30;0;-0.40;-5.70;USD
LTHM;3;-5.59;0;-0.06;-5.65;USD
BILI;6;-6.67;0;-0.36;-7.03;USD
CHL;4;-10.19;0;-0.08;-10.27;USD
BYND;26;-16.16;0;-1.88;-18.04;USD
EHTH;10;-37.63;0;-0.33;-37.96;USD
MOMO;42;-41.67;0;-1.94;-43.61;USD
ZGNX;10;-62.19;0;-0.17;-62.36;USD
FOLD;5;-72.60;0;-0.07;-72.67;USD
SPCE;64;-81.67;0;-3.07;-84.74;USD
SEDG;37;-81.70;0;-5.76;-87.46;USD
C;26;-122.98;1.38;-1.70;-123.30;USD
AAPL;30;-233.71;0;-3.22;-236.93;USD
GTHX;26;-288.62;0;-1.13;-289.75;USD
AYX;25;-350.08;0;-2.99;-353.07;USD
MDMG;21;3075.5;0;-82.87;2992.63;RUB
GLTR;10;1556.0;0;-51.21;1504.79;RUB
IRKT;22;1550;0;-91.79;1458.21;RUB
QIWI;27;1173.0;0;-57.45;1115.55;RUB
IRGZ;11;928;0;-36.16;891.84;RUB
AFKS;9;876.7;0;-117.06;759.64;RUB
RTKM;26;846.7;0;-59.46;787.24;RUB
YNDX;8;772.4;0;-124.04;648.36;RUB
LKOH;12;766.5;0;-86.09;680.41;RUB
MAIL;31;645.4;0;-129.03;516.37;RUB
RUGR;5;592.32;0;-8.99;583.33;RUB
DSKY;15;378.6;0;-20.68;357.92;RUB
ETLN;34;369.96;0;-77.78;292.18;RUB
TATN;6;328.8;0;-11.31;317.49;RUB
NKHP;2;210;0;-5.57;204.43;RUB
HYDR;14;164.0;0;-31.38;132.62;RUB
MTSS;4;137;0;-38.26;98.74;RUB
MSST;6;135.5;0;-10.25;125.25;RUB
OZON;6;130.0;0;-50.22;79.78;RUB
SIBN;11;102.0;0;-25.64;76.36;RUB
MOEX;2;75;0;-5.20;69.80;RUB
LSRG;2;49.6;0;-1.40;48.20;RUB
MGNT;2;23;0;-5.21;17.79;RUB
NSVZ;2;15;0;-2.13;12.87;RUB
MTLR;4;12.0;0;-21.30;-9.30;RUB
FXCN;3;11.5;0;-8.47;3.03;RUB
AFLT;5;-8.8;0;-8.43;-17.23;RUB
BELU;2;-136;0;-2.75;-138.75;RUB
SBER;33;-196.8;935;-232.45;505.75;RUB
VTBR;15;-823.80;0;-48.39;-872.19;RUB
GAZP;4;-2162.4;0;-45.10;-2207.50;RUB
RNFT;8;-2617.4;0;-7.42;-2624.82;RUB
IRAO;2;-5784.15;0;-2.77;-5786.92;RUB
UWGN;3;-5788;0;-5.61;-5793.61;RUB
ALRS;16;-7527.3;0;-42.57;-7569.87;RUB
FIXP;2;-14452.5;0;-7.22;-14459.72;RUB
OBUV;6;-14982.5;0;-12.11;-14994.61;RUB
FIVE;20;-15146.5;0;-52.51;-15199.01;RUB
POLY;31;-18037.0;0;-145.66;-18182.66;RUB
NMTP;16;-24155.0;0;-20.42;-24175.42;RUB
USD000UTSTOM;56;-164484.84;0;-1786.15;-166270.99;RUB
